nome,possui_guarda,efetivo,prefeito,email_pref,telefone_pref,chefe_gm,email_gm,telefone_gm,guarda_armada,populacao,obs_mun,territorio
Barra,NÃO,,,,,,,,NÃO,53528,,Velho Chico
Barra Da Estiva,SIM,19,,,,,,,NÃO,27582,,Chapada Diamantina
Barra Do Choça,SIM,6,,,,,,,NÃO,38481,,Vitória Da Conquista
Barra Do Mendes,NÃO,,,,,,,,NÃO,14345,,Irecê
Barra Do Rocha,SIM,13,,,,,,,NÃO,5920,,Médio Rio De Contas
Barreiras,SIM,145,,chefiadegabinete@barreiras.ba.gov.br,(77) 3613-4355,,guarda@barreiras.ba.gov.br,,NÃO,170667,,Bacia Do Rio Grande
Barro Alto,SIM,9,,,,,,,NÃO,13911,,Irecê
Barro Preto,SIM,8,,,,,,,NÃO,15743,,Litoral Sul
Barrocas,SIM,17,,,,,,,NÃO,5966,,Sisal
Belmonte,NÃO,,,,,,,,NÃO,20567,,Costa Do Descobrimento
Belo Campo,SIM,4,,,,,,,NÃO,19042,,Vitória Da Conquista
Biritinga,SIM,18,,,,,,,NÃO,15606,,Sisal
Boa Nova,SIM,24,,,,,,,NÃO,14052,,Médio Rio De Contas
Boa Vista Do Tupim,SIM,14,,,,,,,NÃO,17307,,Piemonte Do Paraguaçu
Bom Jesus Da Lapa,SIM,76,,gabinete@bomjesusdalapa.ba.gov.br,(77) 3481-3374 ramal 207 / 3481-5777,,,,NÃO,68704,,Velho Chico
Bom Jesus Da Serra,SIM,4,,,,,,,NÃO,10028,,Vitória Da Conquista
Boninal,NÃO,,,,,,,,NÃO,14104,,Chapada Diamantina
Bonito,SIM,9,,,,,,,NÃO,16393,,Chapada Diamantina
Boquira,NÃO,,,,,,,,NÃO,19829,,Bacia Do Paramirim
Botuporã,SIM,1,,,,,,,NÃO,11411,,Bacia Do Paramirim
Brejões,SIM,15,,,,,,,NÃO,13272,,Vale Do Jiquiriça
Brejolândia,NÃO,,,,,,,,NÃO,9377,,Bacia Do Rio Corrente
Brotas De Macaúbas,SIM,8,,,,,,,NÃO,12169,,Velho Chico
Brumado,SIM,89,,gabinete@brumado.ba.gov.br,(77) 3441-8700 / 2500 / 99961-0131,,  guardamunicipal@brumado.ba.gov.br,,NÃO,74095,,Sertão Produtivo
Buerarema,SIM,16,,,,,,,NÃO,15056,,Litoral Sul
Buritirama,NÃO,,,,,,,,NÃO,20212,,Bacia Do Rio Grande
Caatiba,SIM,9,Humberto de Almeida Antunes,cplcaatiba@gmail.com,,,,(77) 3430-2375 / 3430-2010,NÃO,6224,,Médio Sudoeste Da Bahia
Cabaceiras Do Paraguaçu,NÃO,,,,,,,,NÃO,17039,,Recôncavo
Cachoeira,SIM,24,, licitacaocachoeira2021@gmail.com,,,,,NÃO,30550,,Recôncavo
Caculé,SIM,23,,,,,,,NÃO,23246,,Sertão Produtivo
Caém,SIM,5,,,,,,,NÃO,10729,,Piemonte Da Diamantina
Caetanos,SIM,1,,,,,,,NÃO,11500,,Vitória Da Conquista
Caetité,NÃO,,,,,,,,NÃO,54572,,Sertão Produtivo
Cafarnaum,SIM,28,,,,,,,NÃO,18039,,Irecê
Cairu,SIM,38,,segov@cairu.ba.gov.br,,,gmc@cairu.ba.gov.br,,SIM,18486,,Baixo Sul
Caldeirão Grande,SIM,25,,,,,,,NÃO,13566,,Piemonte Norte Do Itapicuru
Camacã,SIM,68,,,,,,,NÃO,22756,,Litoral Sul
Camaçari,NÃO,,,,,,,,NÃO,319394,,Metropolitana De Salvador
Camamu,SIM,8,,prefeituradecamamu@gmail.com,,,,,NÃO,31775,,Baixo Sul
Campo Alegre De Lourdes,NÃO,,,,,,,,NÃO,32377,,Sertão Do São Francisco
Campo Formoso,NÃO,,,,,,,,NÃO,74894,,Piemonte Norte Do Itapicuru
Canápolis,SIM,6,,,,,,,NÃO,10612,,Bacia Do Rio Corrente
Canarana,SIM,6,,,,,,,NÃO,24989,,Irecê
Canavieiras,SIM,29,,,,,,,NÃO,34343,,Litoral Sul
Candeal,SIM,20,,"gabinete@candeal.ba.gov.br 
pmc.candeal@gmail.com",,,,,NÃO,7969,,Sisal
Candeias,SIM,211,,prefeito@candeias.ba.gov.br,(71) 3601-3661 / 3601-1269,,guardamunicipalcandeias@gmail.com,,SIM,75083,,Metropolitana De Salvador
Candiba,NÃO,,,,,,,,NÃO,13425,,Sertão Produtivo
Cândido Sales,SIM,12,,,,,,,NÃO,26465,,Vitória Da Conquista
Cansanção,NÃO,,,,,,,,NÃO,39556,,Sisal
Canudos,SIM,31,,,,,,,NÃO,16662,,Sertão Do São Francisco
Capela Do Alto Alegre,SIM,28,,,,,,,NÃO,11055,,Bacia Do Jacuípe
Capim Grosso,SIM,43,,,,,,,NÃO,35228,,Piemonte Da Diamantina
Caraíbas,NÃO,,,,,,,,NÃO,10260,,Vitória Da Conquista
Caravelas,NÃO,,,,,,,,NÃO,21229,,Extremo Sul
Cardeal Da Silva,NÃO,,,,,,,,NÃO,8634,,Litoral Norte E Agreste Baiano
Carinhanha,SIM,3,,,,,,,NÃO,30375,,Velho Chico
Casa Nova,NÃO,,,,,,,,NÃO,75815,,Sertão Do São Francisco
Castro Alves,NÃO,,,,,,,,NÃO,25471,,Recôncavo
Catolândia,SIM,4,,,,,,,NÃO,3560,,Bacia Do Rio Grande
Catu,SIM,68,,"gabinete@catu.ba.gov.br 
prefeitura@catu.ba.gov.br",,,,,NÃO,50153,,Litoral Norte E Agreste Baiano
Caturama,NÃO,,,,,,,,NÃO,9115,,Bacia Do Paramirim
Central,NÃO,,,,,,,,NÃO,16849,,Irecê
Chorrochó,SIM,9,,,,,,,NÃO,10929,,Itaparica
Cícero Dantas,SIM,15,,,,,,,NÃO,32268,,Semiárido Nordeste Ii
Cipó,SIM,31,,,,,,,NÃO,17836,,Semiárido Nordeste Ii
Coaraci,SIM,35,,,,,,,NÃO,17663,,Litoral Sul
Cocos,SIM,23,,,,,,,NÃO,19817,,Bacia Do Rio Corrente
Conceição Da Feira,NÃO,,,,,,,,NÃO,21499,,Portal Do Sertão
Conceição Do Almeida,NÃO,,,,,,,,NÃO,16184,,Recôncavo
Conceição Do Coité,SIM,37,,,,,,,NÃO,71316,,Sisal
Conceição Do Jacuípe,SIM,46,,gabinetepmcj@gmail.com,,,,,NÃO,37409,,Portal Do Sertão
Conde,NÃO,,,,,,,,NÃO,24434,,Litoral Norte E Agreste Baiano
Condeúba,SIM,40,Micael Batista Silveira,governodecondeuba@gmail.com,,,,(77) 3445-2212 / 77) 99188-244,NÃO,17571,,Vitória Da Conquista
Contendas Do Sincorá,SIM,8,,,,,,,NÃO,4490,,Sertão Produtivo
Coração De Maria,SIM,9,,,,,,,NÃO,28258,,Portal Do Sertão
Cordeiros,SIM,11,,,,,,,NÃO,7763,,Vitória Da Conquista
Coribe,SIM,6,,,,,,,NÃO,14464,,Bacia Do Rio Corrente
Coronel João Sá,SIM,7,,,,,,,NÃO,17593,,Semiárido Nordeste Ii
Correntina,SIM,44,,,,,,,NÃO,34179,,Bacia Do Rio Corrente
Cotegipe,SIM,11,,,,,,,NÃO,13472,,Bacia Do Rio Grande
Cravolândia,NÃO,,,,,,,,NÃO,4514,,Vale Do Jiquiriça
Crisópolis,SIM,10,,,,,,,NÃO,20343,,Litoral Norte E Agreste Baiano
Cristópolis,NÃO,,,,,,,,NÃO,14514,,Bacia Do Rio Grande
Cruz Das Almas,SIM,51,,faleconosco@cruzdasalmas.ba.gov.br,,,,,NÃO,63203,,Recôncavo
Curaçá,NÃO,,,,,,,,NÃO,36021,,Sertão Do São Francisco
Dário Meira,SIM,50,,administracao@dariomeira.ba.gov.br,(73) 3621-2127,,gmdm2025comando@gmail.com,,NÃO,11094,,Médio Rio De Contas
Dias D'Ávila,NÃO,,,,,,,,NÃO,75053,,Metropolitana De Salvador
Dom Basílio,SIM,1,,ouvidoria@diasdavila.ba.gov.br,(71) 3648-3500,,,,NÃO,12309,,Sertão Produtivo
Dom Macedo Costa,NÃO,,,,,,,,NÃO,4588,,Recôncavo
Elísio Medrado,NÃO,,,,,,,,NÃO,8066,,Vale Do Jiquiriça
Encruzilhada,SIM,31,,,,,,,NÃO,19535,,Vitória Da Conquista
Entre Rios,SIM,31,,,,,,,NÃO,39902,,Litoral Norte E Agreste Baiano
Érico Cardoso,NÃO,,,,,,,,NÃO,10948,,Bacia Do Paramirim
Esplanada,SIM,169,,,,,,,SIM,34146,,Litoral Norte E Agreste Baiano
Euclides Da Cunha,SIM,12,,gabinete@euclidesdacunha.ba.gov.br,,,gcm-euclidesdacunha@euclidesdacunha.ba.gov.br,,NÃO,64547,,Semiárido Nordeste Ii
Eunápolis,SIM,30,,"gabinete@eunapolis.ba.gov.br
sespup@eunapolis.ba.gov.br","73 - 98159-5004
73 - 98173-1724 
73 - 99984-1301 Ferreira",,gcm@eunapolis.ba.gov.br,,NÃO,120515,,Costa Do Descobrimento
Fátima,SIM,27,,prefeitura@fatima.ba.gov.br,,,gcm@fatima.ba.gov.br,,SIM,18469,,Semiárido Nordeste Ii
Feira Da Mata,SIM,13,,"sesp@pmfs.ba.gov.br
gabcomando.seprev@pmfs.ba.gov.br","75 - 3221-1257 
75 - 3602-4500",,,,NÃO,5825,,Velho Chico
Feira De Santana,SIM,218,,,,,,,SIM,657948,,Portal Do Sertão
Filadélfia,SIM,33,,,,,,,NÃO,18573,,Piemonte Norte Do Itapicuru
Firmino Alves,SIM,6,,,,,,,NÃO,5006,,Médio Sudoeste Da Bahia
Floresta Azul,NÃO,,,,,,,,NÃO,11442,,Litoral Sul
Formosa Do Rio Preto,NÃO,,,,,,,,NÃO,27421,,Bacia Do Rio Grande
Gandu,SIM,18,,,,,,,SIM,33938,,Baixo Sul
Gavião,SIM,20,,,,,,,NÃO,4493,,Bacia Do Jacuípe
Gentio Do Ouro,NÃO,,,,,,,,NÃO,11263,,Irecê
Glória,NÃO,,,,,,,,NÃO,16072,,Itaparica
Gongogi,SIM,20,,,,,,,NÃO,5567,,Médio Rio De Contas
Governador Mangabeira,SIM,,,,,,,,NÃO,21314,,Recôncavo
Guajeru,SIM,17,,,,,,,NÃO,8225,,Vitória Da Conquista
Guanambi,NÃO,,,,,,,,NÃO,93065,,Sertão Produtivo
Guaratinga,NÃO,,,,,,,,NÃO,19490,,Costa Do Descobrimento
Heliópolis,NÃO,,,,,,,,NÃO,13074,,Semiárido Nordeste Ii
Iaçu,NÃO,,,,,,,,NÃO,25333,,Piemonte Do Paraguaçu
Ibiassucê,SIM,5,,,,,,,NÃO,10754,,Sertão Produtivo
Ibicaraí,SIM,53,,prefeitura.ibicarai@gmail.com,(73) 3242-1005,,guardamunicipaldeibicarai@gmail.com,,NÃO,22200,,Litoral Sul
Ibicoara,NÃO,,,,,,,,NÃO,21690,,Chapada Diamantina
Ibicuí,SIM,11,Salomão Brito de Cerqueira,gabinete@ibicui.ba.gov.br,,,,(73) 81538677,NÃO,14306,,Médio Sudoeste Da Bahia
Ibipeba,SIM,4,,,,,,,NÃO,17128,,Irecê
Ibipitanga,NÃO,4,,,,,,,NÃO,14316,,Bacia Do Paramirim
Ibiquera,SIM,11,,,,,,,NÃO,3837,,Piemonte Do Paraguaçu
Ibirapitanga,SIM,4,,,,,,,NÃO,26794,,Baixo Sul
Ibirapuã,NÃO,,,,,,,,NÃO,9259,,Extremo Sul
Ibirataia,NÃO,,,,,,,,NÃO,19375,,Médio Rio De Contas
Ibitiara,NÃO,,,,,,,,NÃO,15062,,Chapada Diamantina
Ibititá,NÃO,,,,,,,,NÃO,17509,,Irecê
Ibotirama,SIM,8,,,,,,,NÃO,27670,,Velho Chico
Ichu,SIM,7,,ichuprefeitura@gmail.com,(75) 98150-7595,,,,NÃO,6415,,Sisal
Igaporã,SIM,25,,,,,,,NÃO,16047,,Velho Chico
Igrapiúna,SIM,11,,,,,,,NÃO,13528,,Baixo Sul
Iguaí,SIM,3,,,,,,,NÃO,21897,,Médio Sudoeste Da Bahia
Ilhéus,SIM,188,,prefeito@ilheus.ba.gov.br,"73 - 3633-6906
73 - 3234-3500/3608
73 8126-4546 Rosivaldo Oliveira GCM",,comando.gcmi@ilheus.ba.gov.br,,SIM,189028,,Litoral Sul
Inhambupe,SIM,1,,,,,,,NÃO,35397,,Litoral Norte E Agreste Baiano
Ipecaetá,NÃO,,,,,,,,NÃO,14064,,Portal Do Sertão
Ipiaú,SIM,2,,,,,,,NÃO,42507,,Médio Rio De Contas
Ipirá,NÃO,,,,,,,,NÃO,59264,,Bacia Do Jacuípe
Ipupiara,SIM,16,,,,,,,NÃO,10318,,Irecê
Irajuba,SIM,3,,,,,,,NÃO,6255,,Vale Do Jiquiriça
Iramaia,NÃO,,,,,,,,NÃO,11060,,Chapada Diamantina
Iraquara,NÃO,,,,,,,,NÃO,24759,,Chapada Diamantina
Irará,SIM,3,,,,,,,NÃO,29509,,Portal Do Sertão
Irecê,NÃO,,,,,,,,NÃO,78425,,Irecê
Itabela,SIM,19,Ricardo de Jesus Flauzino,gabineteitabela@gmail.com,,,,(73) 3270-0000,NÃO,29563,,Costa Do Descobrimento
Itaberaba,SIM,63,,secom@itaberaba.ba.gov.br,,,,,NÃO,68244,,Piemonte Do Paraguaçu
Itabuna,SIM,199,,"sesop.ita@gmail.com
gabineteprefeito@prefeituradeitabuna.com.br","73 - 8111-3820 
73 - 98883-5905  CMDT",,adm.gcm2020@gmail.com,,SIM,196676,,Litoral Sul
Itacaré,SIM,34,,,,,,,NÃO,29337,,Litoral Sul
Itaeté,SIM,4,,,,,,,NÃO,13822,,Chapada Diamantina
Itagi,SIM,45,,gabineteoficialitagi@hotmail.com,(73) 3539-2213,,,,SIM,14314,,Médio Rio De Contas
Itagibá,SIM,20,,,,,,,NÃO,15792,,Médio Rio De Contas
Itagimirim,NÃO,,,,,,,,NÃO,6512,,Costa Do Descobrimento
Itaguaçu Da Bahia,SIM,32,,,,,,,NÃO,12683,,Irecê
Itaju Do Colônia,SIM,18,,,,,,,NÃO,6157,,Litoral Sul
Itajuípe,NÃO,,,,,,,,NÃO,19249,,Litoral Sul
Itamaraju,SIM,105,,gabinete.itamaraju@gmail.com,0800 000 1061,,,,NÃO,62065,,Extremo Sul
Itamari,SIM,15,,,,,,,NÃO,7219,,Médio Rio De Contas
Itambé,SIM,35,,prefeitura@itambe.ba.gov.br,,,,,NÃO,25108,,Médio Sudoeste Da Bahia
Itanagra,SIM,7,,,,,,,NÃO,6087,,Litoral Norte E Agreste Baiano
Itanhém,NÃO,,,,,,,,NÃO,18258,,Extremo Sul
Itaparica,SIM,46,,,,,,,NÃO,20369,,Metropolitana De Salvador
Itapé,SIM,5,,,,,,,NÃO,10658,,Litoral Sul
Itapebi,NÃO,,,,,,,,NÃO,9501,,Costa Do Descobrimento
Itapetinga,SIM,59,,  sac156@itapetininga.sp.gov.br,(77) 3261-8300 / 8368,,gmitapetinga@hotmail.com,,NÃO,68735,,Médio Sudoeste Da Bahia
Itapicuru,SIM,6,,,,,,,NÃO,33254,,Litoral Norte E Agreste Baiano
Itapitanga,SIM,14,,,,,,,NÃO,10630,,Litoral Sul
Itaquara,SIM,8,,,,,,,NÃO,8448,,Vale Do Jiquiriça
Itarantim,SIM,36,,,,,,,NÃO,17517,,Médio Sudoeste Da Bahia
Itatim,NÃO,,,,,,,,NÃO,16375,,Piemonte Do Paraguaçu
Itiruçu,SIM,25,,,,,,,NÃO,11261,,Vale Do Jiquiriça
Itiúba,NÃO,,,,,,,,NÃO,35491,,Sisal
Itororó,SIM,23,,prefeituraitororo@hotmail.com,,,gm@itororo.ba.gov.br,,NÃO,16945,,Médio Sudoeste Da Bahia
Ituaçu,NÃO,,,,,,,,NÃO,18493,,Sertão Produtivo
Ituberá,SIM,35,,,,,,,NÃO,22299,,Baixo Sul
Iuiú,NÃO,,,,,,,,NÃO,11532,,Sertão Produtivo
Jaborandi,SIM,14,Marcos Antônio Matos da Silva,contato@jaborandi.ba.gov.br,,,,(75) 3203-2106,NÃO,9592,,Bacia Do Rio Corrente
Jacaraci,NÃO,,,,,,,,NÃO,14901,,Vitória Da Conquista
Jacobina,SIM,109,,administracao@jacobina.ba.gov.br,3622-2497 GCM,,guardamunicipal@jacobina.ba.gov.br,,SIM,86649,,Piemonte Da Diamantina
Jaguaquara,SIM,30,,,,,,,NÃO,47738,,Vale Do Jiquiriça
Jaguarari,SIM,20,,,,,,,NÃO,34440,,Piemonte Norte Do Itapicuru
Jaguaripe,SIM,16,,,,,,,NÃO,18300,,Baixo Sul
Jandaíra,NÃO,,,,,,,,NÃO,9535,,Litoral Norte E Agreste Baiano
Jequié,SIM,164,,pmj@jequie.ba.gov.br,(73) 3523-8000,,guardamunicipaldejequie@gmail.com,,SIM,168733,,Médio Rio De Contas
Jeremoabo,SIM,46,João Batista Melo de Carvalho,prefeito@jeremoabo.ba.gov.br,,,,(75) 3203-2106,NÃO,39501,,Semiárido Nordeste Ii
Jiquiriçá,NÃO,,,,,,,,NÃO,14066,,Vale Do Jiquiriça
Jitaúna,SIM,42,,prefeitura@jitauna.ba.gov.br,,,gcmj2018@gmail.com,,NÃO,14815,,Médio Rio De Contas
João Dourado,NÃO,,,,,,,,NÃO,25799,,Irecê
Juazeiro,SIM,169,,gabinete@juazeiro.ba.gov.br,(74) 98802-3361 Reginaldo Marçal,,gcmjua@gmail.com,,NÃO,254481,,Sertão Do São Francisco
Jucuruçu,NÃO,,,,,,,,NÃO,9944,,Extremo Sul
Jussara,SIM,7,,,,,,,NÃO,16956,,Irecê
Jussari,SIM,28,,gabinete.prefeito@jussari.ba.gov.br,,,,,NÃO,6059,,Litoral Sul
Jussiape,SIM,11,,,,,,,NÃO,7585,,Chapada Diamantina
Lafaiete Coutinho,NÃO,,João Batista Melo de Carvalho,pmlafaietecoutinho@gmail.com,,,,(73) 3541-2125 / (73) 99840-9816,NÃO,4221,,Vale Do Jiquiriça
Lagoa Real,SIM,8,,,,,,,NÃO,14546,,Sertão Produtivo
Laje,NÃO,,,,,,,,NÃO,21704,,Vale Do Jiquiriça
Lajedão,NÃO,,,,,,,,NÃO,3986,,Extremo Sul
Lajedinho,NÃO,,,,,,,,NÃO,3621,,Piemonte Do Paraguaçu
Lajedo Do Tabocal,NÃO,,,,,,,,NÃO,7702,,Vale Do Jiquiriça
Lamarão,NÃO,,,,,,,,NÃO,9305,,Sisal
Lapão,SIM,58,,pmlapao@hotmail.com,(74) 3657-1010,,,,NÃO,26998,,Irecê
Lauro De Freitas,SIM,121,,comunicacao@laurodefreitas.ba.gov.br,"71 - 98808-4873 CMDT
71 -  99232-8797 Juraci Coord.",,,,SIM,231925,,Metropolitana De Salvador
Lençóis,SIM,11,,,,,,,NÃO,11170,,Chapada Diamantina
Licínio De Almeida,SIM,6,,,,,,,NÃO,12208,,Vitória Da Conquista
Livramento De Nossa Senhora,NÃO,,,,,,,,NÃO,46249,,Sertão Produtivo
Luís Eduardo Magalhães,SIM,57,,prefeitura@pmlem.ba.gov.br,(77) 3628 3862,,gcm@pmlem.ba.gov.br,,SIM,116662,,Bacia Do Rio Grande
Macajuba,NÃO,,,,,,,,NÃO,10758,,Piemonte Do Paraguaçu
Macarani,SIM,27,,"glaubercostasilva@outlook.com
pmmacaraniba@gmail.com",,,guardagcm2009@gmail.com,,NÃO,22596,,Médio Sudoeste Da Bahia
Macaúbas,NÃO,,,,,,,,NÃO,43725,,Bacia Do Paramirim
Macururé,SIM,19,,,,,,,NÃO,7455,,Itaparica
Madre De Deus,NÃO,,,,,,,,NÃO,21283,,Metropolitana De Salvador
Maetinga,SIM,3,,,,,,,NÃO,7212,,Vitória Da Conquista
Maiquinique,SIM,5,,,,,,,NÃO,9011,,Médio Sudoeste Da Bahia
Mairi,NÃO,,,,,,,,NÃO,18161,,Bacia Do Jacuípe
Malhada,NÃO,,,,,,,,NÃO,15834,,Velho Chico
Malhada De Pedras,SIM,1,,,,,,,NÃO,8972,,Sertão Produtivo
Manoel Vitorino,SIM,23,,,,,,,NÃO,14295,,Médio Rio De Contas
Mansidão,SIM,22,,,,,,,NÃO,14484,,Bacia Do Rio Grande
Maracás,SIM,9,,prefeituramaracas@gmail.com,,,,,NÃO,29197,,Vale Do Jiquiriça
Maragogipe,SIM,147,,armedevalnicio@rocketmail.com,,,comandogcmmaragojipe@gmail.com,,NÃO,37225,,Recôncavo
Maraú,NÃO,,,,,,,,NÃO,25626,,Litoral Sul
Marcionílio Souza,NÃO,,,,,,,,NÃO,9507,,Chapada Diamantina
Mascote,NÃO,,,,,,,,NÃO,13941,,Litoral Sul
Mata De São João,SIM,38,,comunicacao@pmsj.ba.gov.br,(71) 3635-1310,,,,NÃO,44839,,Litoral Norte E Agreste Baiano
Matina,SIM,25,,,,,,,NÃO,10629,,Velho Chico
Medeiros Neto,NÃO,,,,,,,,NÃO,22925,,Extremo Sul
Miguel Calmon,SIM,16,,,,,,,NÃO,25317,,Piemonte Da Diamantina
Milagres,NÃO,,,,,,,,NÃO,11434,,Vale Do Jiquiriça
Mirangaba,SIM,34,,gabinetemirangaba@gmail.com,,,,,NÃO,16185,,Piemonte Da Diamantina
Mirante,SIM,22,,,,,,,NÃO,10523,,Vitória Da Conquista
Monte Santo,SIM,69,,gabinete@montesanto.ba.gov.br,(75) 3275-1124 / 1832,,,,NÃO,49823,,Sisal
Morpará,NÃO,,,,,,,,NÃO,8232,,Velho Chico
Morro Do Chapéu,NÃO,,,,,,,,NÃO,35224,,Chapada Diamantina
Mortugaba,NÃO,,,,,,,,NÃO,11487,,Vitória Da Conquista
Mucugê,NÃO,,,,,,,,NÃO,12650,,Chapada Diamantina
Mucuri,NÃO,,,,,,,,NÃO,40005,,Extremo Sul
Mulungu Do Morro,SIM,23,,,,,,,NÃO,13625,,Irecê
Mundo Novo,NÃO,,,,,,,,NÃO,17417,,Piemonte Do Paraguaçu
Muniz Ferreira,NÃO,,,,,,,,NÃO,7443,,Recôncavo
Muquém De São Francisco,NÃO,,,,,,,,NÃO,10796,,Velho Chico
Muritiba,SIM,20,,"gabinete@muritiba.ba.gov.br
prefeitura@muritiba.ba.gov.br",75 - 3424-2811 / 2813,,,,NÃO,30146,,Recôncavo
Mutuípe,NÃO,,,,,,,,NÃO,20612,,Vale Do Jiquiriça
Nazaré,SIM,39,,,,,,,NÃO,28403,,Recôncavo
Nilo Peçanha,SIM,1,,,,,,,NÃO,12418,,Baixo Sul
Nordestina,SIM,14,,,,,,,NÃO,19500,,Sisal
Nova Canaã,SIM,22,,,,,,,NÃO,14035,,Médio Sudoeste Da Bahia
Nova Fátima,SIM,14,,,,,,,NÃO,8264,,Bacia Do Jacuípe
Nova Ibiá,SIM,4,,,,,,,NÃO,6701,,Médio Rio De Contas
Nova Itarana,SIM,2,,,,,,,NÃO,8059,,Vale Do Jiquiriça
Nova Redenção,SIM,7,,,,,,,NÃO,7708,,Chapada Diamantina
Nova Soure,NÃO,,,,,,,,NÃO,24906,,Semiárido Nordeste Ii
Nova Viçosa,NÃO,,,,,,,,NÃO,41551,,Extremo Sul
Novo Horizonte,NÃO,,,,,,,,NÃO,11565,,Chapada Diamantina
Novo Triunfo,SIM,23,,,,,,,NÃO,11197,,Semiárido Nordeste Ii
Olindina,SIM,39,,,,,,,NÃO,23085,,Litoral Norte E Agreste Baiano
Oliveira Dos Brejinhos,NÃO,,,,,,,,NÃO,21334,,Velho Chico
Ouriçangas,SIM,3,,,,,,,NÃO,7939,,Litoral Norte E Agreste Baiano
Ourolândia,SIM,19,,,,,,,NÃO,20037,,Piemonte Da Diamantina
Palmas De Monte Alto,SIM,14,,,,,,,NÃO,20677,,Sertão Produtivo
Palmeiras,SIM,11,,prefeituradepalmeiras@gmail.com,"75 - 3332-2211  
75 - 99252-5388",,,,NÃO,10819,,Chapada Diamantina
Paramirim,NÃO,,,,,,,,NÃO,21009,,Bacia Do Paramirim
Paratinga,SIM,14,,,,,,,NÃO,30671,,Velho Chico
Paripiranga,NÃO,,,,,,,,NÃO,27866,,Semiárido Nordeste Ii
Pau Brasil,SIM,42,,,,,,,NÃO,9584,,Litoral Sul
Paulo Afonso,SIM,47,,ouvidoria@pauloafonso.ba.gov.br,,,,,NÃO,119128,,Itaparica
Pé De Serra,SIM,28,,,,,,,NÃO,13675,,Bacia Do Jacuípe
Pedrão,NÃO,,,,,,,,NÃO,6415,,Litoral Norte E Agreste Baiano
Pedro Alexandre,SIM,35,,,,,,,NÃO,14288,,Semiárido Nordeste Ii
Piatã,NÃO,,,,,,,,NÃO,20859,,Chapada Diamantina
